File name,Time,Best primal bound,Active columns in best primal sol,Total columns generated,Solved to opt in one hour
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no1,102.762,273.405,5,4720,1
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no2,139.344,286.877,5,6637,1
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no3,88.6423,263.547,5,4380,1
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no4,103.929,268.376,5,5331,1
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no5,78.1676,222.624,5,4518,1
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no1,86.5497,254.197,7,4199,1
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no2,128.584,285.37,7,5748,1
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no3,329.804,233.482,7,10003,1
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no4,96.5654,237.91,7,5153,1
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no5,70.9756,277.526,7,4644,1
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no1,149.018,241.325,9,6411,1
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no2,230.552,255.704,9,7706,1
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no3,1034.22,296.227,9,17884,1
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no4,776.844,237.403,9,15253,1
RC_N100_R100_H100_h20_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no5,506.521,256.811,9,12883,1
RC_N100_R100_H100_h40_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no1,3298.36,534.845,5,24242,1
RC_N100_R100_H100_h40_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no2,1424.67,554.253,5,17866,1
