File name,Time,Best primal bound,Active columns in best primal sol,Total columns generated,Solved to optimality
RKP_ASC_n20_R1000_H100_h40_dev0.15_d0.1,20.9437,4358.41,5,2476,1
RKP_ASC_n20_R1000_H100_h40_dev0.15_d0.5,10.1656,3733.45,8,1860,1
RKP_ASC_n20_R1000_H100_h40_dev0.15_d1,2.96227,4954.2,6,489,1
RKP_ASC_n20_R1000_H100_h40_dev0.1_d0.1,12.7752,5573,1,2041,1
RKP_ASC_n20_R1000_H100_h40_dev0.1_d0.5,0.644427,4288.67,2,222,1
RKP_ASC_n20_R1000_H100_h40_dev0.1_d1,1.04471,4233,1,261,1
RKP_ASC_n20_R1000_H100_h40_dev0.2_d0.1,44.9696,4146.12,6,4208,1
RKP_ASC_n20_R1000_H100_h40_dev0.2_d0.5,26.2127,3510.3,5,3364,1
RKP_ASC_n20_R1000_H100_h40_dev0.2_d1,18.4555,3904.81,5,2180,1
RKP_ASC_n20_R1000_H100_h80_dev0.15_d0.1,0.877041,7328.64,6,275,1
RKP_ASC_n20_R1000_H100_h80_dev0.15_d0.5,0.926411,7884.35,5,289,1
RKP_ASC_n20_R1000_H100_h80_dev0.15_d1,1.89402,7089.47,7,454,1
RKP_ASC_n20_R1000_H100_h80_dev0.1_d0.1,1.87838,8426.27,2,391,1
RKP_ASC_n20_R1000_H100_h80_dev0.1_d0.5,1.36415,9358.9717,4,264,1
RKP_ASC_n20_R1000_H100_h80_dev0.1_d1,1.36066,7108.43,3,302,1
RKP_ASC_n20_R1000_H100_h80_dev0.2_d0.1,4.8093,7102.12,7,927,1
RKP_ASC_n20_R1000_H100_h80_dev0.2_d0.5,1.38335,6894.27,10,392,1
RKP_ASC_n20_R1000_H100_h80_dev0.2_d1,1.26632,6516.16,7,349,1
RKP_SC_n20_R1000_H100_h40_dev0.15_d0.1,16.1787,4376.31,6,2126,1
RKP_SC_n20_R1000_H100_h40_dev0.15_d0.5,4.55352,4381.15,6,1041,1
RKP_SC_n20_R1000_H100_h40_dev0.15_d1,6.86939,4293.04,6,1083,1
RKP_SC_n20_R1000_H100_h40_dev0.1_d0.1,21.3676,5311,1,2088,1
RKP_SC_n20_R1000_H100_h40_dev0.1_d0.5,1.31174,4394,1,382,1
RKP_SC_n20_R1000_H100_h40_dev0.1_d1,0.814007,4785.19,4,210,1
RKP_SC_n20_R1000_H100_h40_dev0.2_d0.1,19.9401,3952.15,6,2696,1
RKP_SC_n20_R1000_H100_h40_dev0.2_d0.5,29.6696,4017.82,6,3259,1
RKP_SC_n20_R1000_H100_h40_dev0.2_d1,25.9257,4336.22,7,2287,1
RKP_SC_n20_R1000_H100_h80_dev0.15_d0.1,1.71372,6568.75,7,453,1
RKP_SC_n20_R1000_H100_h80_dev0.15_d0.5,2.06949,9494.42,5,446,1
RKP_SC_n20_R1000_H100_h80_dev0.15_d1,3.23924,7798.64,7,637,1
RKP_SC_n20_R1000_H100_h80_dev0.1_d0.1,1.58345,9298.22,2,319,1
RKP_SC_n20_R1000_H100_h80_dev0.1_d0.5,1.85948,8191.15,6,409,1
RKP_SC_n20_R1000_H100_h80_dev0.1_d1,1.44322,8850.9429,4,384,1
RKP_SC_n20_R1000_H100_h80_dev0.2_d0.1,7.94169,8189.32,9,1338,1
RKP_SC_n20_R1000_H100_h80_dev0.2_d0.5,14.9601,8559.53,9,1907,1
RKP_SC_n20_R1000_H100_h80_dev0.2_d1,3.7818,8832.57,7,643,1
RKP_UN_n20_R1000_H100_h40_dev0.15_d0.1,0.418436,6833.24,10,177,1
RKP_UN_n20_R1000_H100_h40_dev0.15_d0.5,0.151038,6166,1,76,1
RKP_UN_n20_R1000_H100_h40_dev0.15_d1,0.198075,6032.0109,5,97,1
RKP_UN_n20_R1000_H100_h40_dev0.1_d0.1,0.483194,5318,3,189,1
RKP_UN_n20_R1000_H100_h40_dev0.1_d0.5,0.113544,7804.67,9,79,1
RKP_UN_n20_R1000_H100_h40_dev0.1_d1,0.368247,6065.4229,3,131,1
RKP_UN_n20_R1000_H100_h40_dev0.2_d0.1,0.287149,6803,1,124,1
RKP_UN_n20_R1000_H100_h40_dev0.2_d0.5,0.0310328,6362,1,23,1
RKP_UN_n20_R1000_H100_h40_dev0.2_d1,0.453967,4610,1,160,1
RKP_UN_n20_R1000_H100_h80_dev0.15_d0.1,0.100321,10213.5,10,51,1
RKP_UN_n20_R1000_H100_h80_dev0.15_d0.5,0.521478,8694.72,7,163,1
RKP_UN_n20_R1000_H100_h80_dev0.15_d1,0.424758,7273.56,14,142,1
RKP_UN_n20_R1000_H100_h80_dev0.1_d0.1,0.253109,8694.73,6,84,1
RKP_UN_n20_R1000_H100_h80_dev0.1_d0.5,0.251997,11446,4,79,1
RKP_UN_n20_R1000_H100_h80_dev0.1_d1,0.268796,9149.59,8,87,1
RKP_UN_n20_R1000_H100_h80_dev0.2_d0.1,0.295633,8147.42,12,108,1
RKP_UN_n20_R1000_H100_h80_dev0.2_d0.5,0.187368,8776.12,14,60,1
RKP_UN_n20_R1000_H100_h80_dev0.2_d1,0.19707,8867.23,13,65,1
RKP_WC_n20_R1000_H100_h40_dev0.15_d0.1,224.578,3912,1,12224,1
RKP_WC_n20_R1000_H100_h40_dev0.15_d0.5,8.48117,3489.88,9,1636,1
RKP_WC_n20_R1000_H100_h40_dev0.15_d1,0.34399,2806,1,149,1
RKP_WC_n20_R1000_H100_h40_dev0.1_d0.1,7.03445,3214.04,4,1524,1
RKP_WC_n20_R1000_H100_h40_dev0.1_d0.5,6.88958,3857.51,5,1454,1
RKP_WC_n20_R1000_H100_h40_dev0.1_d1,0.845524,4026.27,6,256,1
RKP_WC_n20_R1000_H100_h40_dev0.2_d0.1,188.643,4438,1,10550,1
RKP_WC_n20_R1000_H100_h40_dev0.2_d0.5,3.47622,3223,1,924,1
RKP_WC_n20_R1000_H100_h40_dev0.2_d1,0.816923,3459,1,322,1
RKP_WC_n20_R1000_H100_h80_dev0.15_d0.1,15.2416,5881.93,7,2214,1
